start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
490779.5845999997,5921563.322000001,-1,490763.3710000003,5921581.017000001,-1,3226.115640,3250.115512,23.999872
490763.3710000003,5921581.017000001,-1,490738.7340000002,5921607.265699999,-1,3250.115512,3286.115179,35.999667
490738.7340000002,5921607.265699999,-1,490713.7215999998,5921633.157,-1,3286.115179,3322.114896,35.999716
490713.7215999998,5921633.157,-1,490713.0214999998,5921633.870999999,-2,3322.114896,3323.529086,1.414191
490713.0214999998,5921633.870999999,-2,490698.95969999954,5921648.093,-2,3323.529086,3343.529074,19.999988
490698.95969999954,5921648.093,-2,490681.2231999999,5921665.7115,-2,3343.529074,3368.528974,24.999899
490681.2231999999,5921665.7115,-2,490662.59130000044,5921683.8456,-2,3368.528974,3394.528844,25.999871
490662.59130000044,5921683.8456,-2,490644.49909999967,5921701.0986,-2,3394.528844,3419.528718,24.999874
490644.49909999967,5921701.0986,-2,490626.2352,5921718.1698,-2,3419.528718,3444.528637,24.999918
490626.2352,5921718.1698,-2,490610.7622999996,5921732.368000001,-2,3444.528637,3465.528625,20.999989
490610.7622999996,5921732.368000001,-2,490595.9157999996,5921745.7687,-2,3465.528625,3485.528558,19.999933
490595.9157999996,5921745.7687,-2,490580.9626000002,5921759.0502,-2,3485.528558,3505.528469,19.999911
490580.9626000002,5921759.0502,-2,490565.1479000002,5921772.866599999,-2,3505.528469,3526.528413,20.999944
490565.1479000002,5921772.866599999,-2,490188.6645999998,5922097.319,-2,3526.528413,4023.528448,497.000035
490188.6645999998,5922097.319,-2,490187.9071000004,5922097.9717999995,-3,4023.528448,4024.942646,1.414197
490187.9071000004,5922097.9717999995,-3,490137.91060000006,5922141.0572,-3,4024.942646,4090.942659,66.000013
490137.91060000006,5922141.0572,-3,490137.15309999976,5922141.710000001,-4,4090.942659,4092.356856,1.414197
490137.15309999976,5922141.710000001,-4,489649.3086000001,5922562.119100001,-4,4092.356856,4736.356908,644.000052
489649.3086000001,5922562.119100001,-4,489648.5510999998,5922562.7719,-5,4736.356908,4737.771106,1.414197
